Role,Location,Apply Link
Crew Captain,Bangalore,https://careers.swiggy.com/#/careers
Sales Manager II,Jaipur,https://careers.swiggy.com/#/careers
Content Executive,Kolkata,https://careers.swiggy.com/#/careers
Content Executive,Ahmedabad,https://careers.swiggy.com/#/careers
Content Executive,Chennai,https://careers.swiggy.com/#/careers
Content Lead,Kolkata,https://careers.swiggy.com/#/careers
Content Lead,Ahmedabad,https://careers.swiggy.com/#/careers
Key Account Manager I,Mumbai,https://careers.swiggy.com/#/careers
Account Manager - Retail,Chandigarh,https://careers.swiggy.com/#/careers
Sales Manager I,Kurukshetra,https://careers.swiggy.com/#/careers
Senior Executive - Videographer,Chennai,https://careers.swiggy.com/#/careers
Executive - Client Servicing,Mumbai,https://careers.swiggy.com/#/careers
Manager - Demand Planning,Bengaluru,https://careers.swiggy.com/#/careers
Lead - Inventory Management,Bangalore,https://careers.swiggy.com/#/careers
Sales Manager I,Mumbai,https://careers.swiggy.com/#/careers
Manager - National Accounts,Bengaluru,https://careers.swiggy.com/#/careers
Sales Manager I,Abohar,https://careers.swiggy.com/#/careers
Sales Manager I,Allahabad,https://careers.swiggy.com/#/careers
Lead - MIS,Bangalore,https://careers.swiggy.com/#/careers
Sales Manager I,Mumbai,https://careers.swiggy.com/#/careers
Sales Manager II,Rourkela,https://careers.swiggy.com/#/careers
Senior Fleet Excellence Manager,Indore-Metro Tower - SNO,https://careers.swiggy.com/#/careers
Executive Video Editor,Mumbai,https://careers.swiggy.com/#/careers
Senior Fleet Excellence Manager,Indore-Metro Tower - SNO,https://careers.swiggy.com/#/careers
Engineering Manager - Android,Bengaluru,https://careers.swiggy.com/#/careers
Senior Consultant Infosec,Bengaluru,https://careers.swiggy.com/#/careers
Senior Saas Application Administrator,Bengaluru,https://careers.swiggy.com/#/careers
Service Ops Engineer II,Bangalore_Embassy Tech Village,https://careers.swiggy.com/#/careers
SOC Analyst III,Bangalore_Embassy Tech Village,https://careers.swiggy.com/#/careers
compliance Analyst,Bangalore_Embassy Tech Village,https://careers.swiggy.com/#/careers
Infosec Manager,Bangalore_Embassy Tech Village,https://careers.swiggy.com/#/careers
Software Development Engineer III,Bengaluru,https://careers.swiggy.com/#/careers
Fleet excellence manager,Lucknow,https://careers.swiggy.com/#/careers
Fleet excellence manager,Lucknow,https://careers.swiggy.com/#/careers
Fleet excellence manager,Bahadurgarh,https://careers.swiggy.com/#/careers
Senior Fleet Excellence Manager,Indore-Metro Tower - SNO,https://careers.swiggy.com/#/careers
Fleet excellence manager,Guwahati,https://careers.swiggy.com/#/careers
Fleet Excellence Manager,Indore-Metro Tower - SNO,https://careers.swiggy.com/#/careers
Principal Software Engineer,Bangalore,https://careers.swiggy.com/#/careers
Area Manager I,Chandigarh,https://careers.swiggy.com/#/careers
Fleet Manager,Madurai,https://careers.swiggy.com/#/careers
Fleet Manager,Ooty,https://careers.swiggy.com/#/careers
Fleet Manager,Karaikudi,https://careers.swiggy.com/#/careers
Manager - Finance,Bangalore,https://careers.swiggy.com/#/careers
Client Servicing Manager,Mumbai,https://careers.swiggy.com/#/careers
Sales Manager II,Coimbatore,https://careers.swiggy.com/#/careers
Sales Manager I,Ahmedabad,https://careers.swiggy.com/#/careers
Business Associate,Bangalore,https://careers.swiggy.com/#/careers
Account Manager - Retail,Surat-Regent Square - SNO,https://careers.swiggy.com/#/careers
