Job Title,Job ID,City,State,Country,Category,Apply Link
Solution Lead - L1,75071,Bengaluru; Mumbai; Pune,Karnataka; Maharashtra,India,,https://careers.wipro.com/job/Solution-Lead-L1/75071-en_US
Lead Administrator - L1,51713,Bengaluru; Chennai; Hyderabad; Pune,Karnataka; Maharashtra; Tamil Nadu; Telangana,India,Cloud,https://careers.wipro.com/job/Lead-Administrator-L1/51713-en_US
Developer - L3,55212,Chennai; Hyderabad; Pune,Maharashtra; Tamil Nadu; Telangana,India,Digital Experience,https://careers.wipro.com/job/Developer-L3/55212-en_US
Recruiter - L3,85437,Bengaluru; Gurugram,Haryana; Karnataka,India,Business Process,https://careers.wipro.com/job/Recruiter-L3/85437-en_US
Developer - L4,81501,Hyderabad; Mumbai,Maharashtra; Telangana,India,Business Process,https://careers.wipro.com/job/Developer-L4/81501-en_US
Salesforce Technical Lead,74515,Bengaluru; Pune,Karnataka; Maharashtra,India,Cloud,https://careers.wipro.com/job/Salesforce-Technical-Lead/74515-en_US
Senior Analyst,13696,Bengaluru; Gurugram,Haryana; Karnataka,India,Business Process,https://careers.wipro.com/job/Senior-Analyst/13696-en_US
Analyst,10527,Bengaluru; Gurugram,Haryana; Karnataka,India,Business Process,https://careers.wipro.com/job/Analyst/10527-en_US
Senior Analyst,10621,Bengaluru; Gurugram,Haryana; Karnataka,India,Business Process,https://careers.wipro.com/job/Senior-Analyst/10621-en_US
Administrator - L3,81146,Hyderabad; Mumbai,Maharashtra; Telangana,India,Cloud,https://careers.wipro.com/job/Administrator-L3/81146-en_US
Management Trainee,71035,Bengaluru; Gurugram,Haryana; Karnataka,India,Business Process,https://careers.wipro.com/job/Management-Trainee/71035-en_US
Developer - L4,85134,Kochi,Kerala,India,Consulting,https://careers.wipro.com/job/Developer-L4/85134-en_US
Administrator - L3,87042,Kochi,Kerala,India,Cloud,https://careers.wipro.com/job/Administrator-L3/87042-en_US
Lead Administrator - L1,82127,Kochi,Kerala,India,Cloud,https://careers.wipro.com/job/Lead-Administrator-L1/82127-en_US
Service Desk Analyst - L1,70637,Chitradurga,Karnataka,India,Cloud,https://careers.wipro.com/job/Service-Desk-Analyst-L1/70637-en_US
